X,Y,fid,X,Y,nr,naam punt,Deelgemeente,openbaar vervoer,AWV,OD of andere,Herkoms,Interregionaal,Tijdstip lancering eHUB,realistische timing,publieke fietsenstalling,publieke parking,Pakjesautomaat,Blue Bike,aantal deelwagens,aantal laadpalen,aantal e-deelwagens,type zuil,aantal deelwagens (Uitbr 2020),aantal e-deelwagens (uitbr 2020),aantal laadpalen (dossier 2020 - voorzien voor Q1 2021),aantal deelwagens (scenario2),aantal e-deelwagens (scenario2),e-deelfietsen Sept (30),e-deelfietsen Maart (35),e-deelfietsen Mei (40),e-deelfietsen Toekomst? (60),aantal deelfietsen,aantal e-deelfietsen (indien max 92 0),aantal e-deelfietsen (indien max 125),aantal e-deelfietsen (indien max 125) scenario 26 locaties,aantal e-deelfietsen (indien max 125) scenario 31 locaties,aantal e-deelbakfietsen,aantal pakjesautomaten,# fietsbeugels te voorzien,aantal e-hubs,EV capaciteit,stadsgezicht
171919.920728101,173107.553576501,"43",4.6801424,50.8679316,"43",Arenberg I - IMEC Wetenschapspark,HEV,"1",ja,KUL,S,R,,sep/21,,,,,"0",,"0",D,"0","0",,"0","0",,,,,"12",,"0",,,"0",K,"7","0","0","0"
172075.12750804,172320.635018774,"44",4.6822999,50.8608518,"44",Arenberg II - Celestijnenlaan,HEV,"1",,KUL,S,R,jul/21,sep/21,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,"4",,"4","0",,"5","0","0",
172819.59365225,173355.211440842,"45",4.6929382,50.8701232,"45",Arenberg III - Sportkot,HEV,"1",ja,KUL,S,L,jul/21,sep/21,,,,,"0",,"0",mini,"0","0","1","0","0",,,,,"0",,"4",,"4","0",,,"0","0",
175785.342847497,174678.659899282,"46",4.7351633,50.8818959,"46",Bibliotheek Kessel-Lo,KLO,"0",,,S,B,jul/21,sep/21,,,,,"0","1","0",mini,"0","0","1","0","0",,,,,"0",,"4","5","4","0",,,"0","0","0"
174260.693031201,177910.756023066,"47",4.7137121,50.9110159,"47",Bibliotheek Wilsele,WIL,"1",ja,,S,L,jul/21,sep/21,,,,,"0","1","0",mini,"0","0","1","0","0",,,,,"0",,"4","5","4","0",K,,"0","0","0"
173386.94777675,175412.714574909,"48",4.7011293,50.8885962,"48",Engels plein,LEU,"0",,,S,R,mrt/21,sep/21,,"1",,,"2",,"0",mini,"3","0","3","3","0",,,,,"12","4","4","4","4","0",G,"11","0","0","0"
175753.393878106,171153.098249638,"49",4.7344621,50.8502048,"49",Researchpark Haasrode II,HEV,"1",,,S,R,mrt/21,sep/21,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0","4","4","5","4","0",,"5","0","0",
174292.052012064,174637.772605659,"50",4.7139412,50.8815928,"50",Station Leuven - centrum,LEU,"1",,NMBS,S,I,mei/21,sep/21,,,"0,5","71","8","1","0",D,"9","0","5","6","3",,,"4","12","0","12","12","17","11","0",,"11","1","0","0"
173887.643769298,173957.623004061,"51",4.7081504,50.8754955,"51",A. Vesaliusstraat,LEU,"1",,KUL,S,L,,jun/22,,,,,,,,mini,,,,,,,,,,,,,,"4","1",K,,,,
173234.514302178,175626.854786457,"52",4.6989765,50.8905273,"52",Buurtcentrum Wilsele-dorp,WIL,"1",,,S,L,,jun/22,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,,,,"0",,,"0","0","0"
173151.099331118,174021.803463297,"53",4.6976897,50.8761023,"53",Damiaanplein,LEU,"1",,,S,L,,jun/22,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,,,,"0",,,"0","0","0"
174608.970261949,176854.136953687,"54",4.7185932,50.901503,"54",Kesseldal,KLO,"1",,,S,L,,jun/22,,,,,"0","1","0",mini,"0","0","1","0","0",,,,,"0",,,,"4","0",K,,"0","0","0"
175139.020991792,171532.219615882,"55",4.7257638,50.8536398,"55",Researchpark Haasrode III,HEV,"1",ja,,S,R,,jun/22,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,"3",,,"0",,,"0","0","0"
173340.889889984,177010.163907072,"56",4.7005764,50.902958,"56",Sportschuur Wilsele,WIL,"1",,,S,L,mei/21,jun/22,,,,,"0","1","0",mini,"0","0","1","0","0",,,,,"0","1","1","2","1","0",K,"3","0","0","0"
171622.307612272,173518.086133616,"57",4.6759388,50.8716332,"57",'t Celestijntje,HEV,"1",,,S,L,,jun/22,,,,,,,,mini,,,,,,,,,,,,,,"4","1",K,,,,
172557.236995408,175990.604698764,"58",4.6893731,50.8938239,"58",t Windgat Carpool,WIL,"1",ja,,S,R,,jun/22,,"1",,,"0","1","0",mini,"0","0","1","0","0",,,,,"0",,,,,"0",,,"0","0","0"
171081.951813706,173389.279656646,"59",4.6682547,50.8704952,"59",Ter Elst,,"1",,,S,L,,jun/22,,,,,,,,mini,,,,,,,,,,,,,,,"1",K,,,,
173728.615133459,175175.741838926,"60",4.7059697,50.8864521,"60",Tweewaters,LEU,"1",,,S,L,,jun/22,,"1",,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,,,,"0",,,"0","0","0"
